번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0009490,2021년,10월,서울,성북구,우리주유소,서울 성북구 화랑로 292,SK에너지,셀프,,1716.35,1506.68,
A0009060,2021년,10월,서울,강서구,(주)한진 김포공항주유소,서울 강서구 하늘길 259,S-OIL,셀프,,1694.1,1505.13,1020.0
A0000550,2021년,10월,서울,강서구,SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),SK에너지,일반,1961.65,1775.0,1571.13,
A0010121,2021년,10월,서울,노원구,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,셀프,1891.45,1691.45,1491.45,
A0009889,2021년,10월,서울,서초구,지에스칼텍스(주)내곡주유소,서울 서초구 헌릉로 210,GS칼텍스,일반,1958.55,1818.55,1616.45,1331.45
A0009121,2021년,10월,서울,성북구,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,GS칼텍스,일반,,1750.13,1545.29,1222.58
A0000063,2021년,10월,서울,종로구,현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),현대오일뱅크,셀프,2057.16,1979.29,1777.55,
A0009881,2021년,10월,서울,서초구,양재최고주유소,서울 서초구 매헌로 72 (양재동),S-OIL,일반,,1930.48,1730.48,
A0009508,2021년,10월,서울,성북구,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),현대오일뱅크,셀프,1945.45,1706.55,1506.55,
A0000480,2021년,10월,서울,강서구,개화주유소,서울 강서구 양천로 57,SK에너지,셀프,,1720.87,1520.87,
A0000792,2021년,10월,서울,구로구,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,일반,,2219.03,2008.32,1414.71
A0006039,2021년,10월,서울,강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,셀프,1978.94,1823.13,1623.13,
A0009663,2021년,10월,서울,노원구,현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),현대오일뱅크,일반,1955.45,1768.81,1568.81,1073.19
